ulasan,kategori,clean
untuk pengembalian barang dan dana gak terlalu akurat punyaku udah tak kembalikan barangnya yang gak sesuai tapi ditolak,Negatif,kembali barang dana gak terlalu akurat punya udah tak kembali barang gak sesuai tolak
top abis,Positif,top abis
brgnya bgs dan cpt smp,Positif,brgnya bgs cpt smp
layanan nya cepat 🥰kurir nya ramah terimakasih 🙏,Positif,layan nya cepat kurir nya ramah terimakasih
"Setelah di Update Shopee versi terbaru lebih cepat, seneng belanja di Shopee ada Gratis Ongkir 👍👍👍",Positif,update shopee versi baru lebih cepat neng belanja shopee gratis ongkir
shopee sangat bagus sekali,Positif,shopee sangat bagus sekali
mantap,Positif,mantap
shoppe tolong dong ini kenapa shoppe ku melakukan foto otomatis dari tadi pagi sampai malam tolong diurus dong bug atau emang ada oknum yang menyalah gunakannya,Positif,shoppe dong shoppe ku laku foto otomatis tadi pagi malam urus dong bug emang oknum salah guna
mantappp,Positif,mantappp
sangat puas,Positif,sangat puas
ok bagus sangat membantu untuk belanja online,Positif,bagus sangat bantu belanja online
top MarkotooooP,Positif,top markotoooop
good,Positif,good
suka sekaliii,Positif,suka sekaliii
mantap 👍,Positif,mantap
goodjob,Positif,goodjob
shopee merupakan aplikasi yg lebih baik !,Positif,shopee rupa aplikasi yg lebih baik
kenapa klw di apdet ngk bisa,Negatif,klw apdet ngk
krang,Negatif,krang
bagus,Positif,bagus
lebih banyak barang yang bagus ya!,Positif,lebih banyak barang bagus
"SPX knp ampas banget sih? berkali2 pesanan dibatalkan krna paket hilang. belum lagi saat barang sudah di agen terdekat, tapi kurir tunda2 buat antar ke alamat. jelek parah pelayanannya",Negatif,spx knp ampas banget sih kali pesan batal krna paket hilang barang agen dekat kurir tunda buat antar alamat jelek parah layan
Shopee sangat membantu sekali,Positif,shopee sangat bantu sekali
saya ga bisa transaksi . saya juga ga bisa kirim uang dari shopeepay,Negatif,ga transaksi ga kirim uang shopeepay
cepat pengirimannya,Positif,cepat kirim
saya sangat suka dgn shopee cepat dan tepat,Positif,sangat suka dgn shopee cepat tepat
shopee is the best,Positif,shopee is the best
respon cepat🚀,Positif,respon cepat
sangat baik good luck,Positif,sangat baik good luck
sangat memuaskan,Positif,sangat muas
sampai saat ini belanja di shopee belum ada yg mengecewakan,Positif,belanja shopee yg kecewa
"kesel, gabisa verifikasi wajah, cape",Negatif,kesel gabisa verifikasi wajah cape
skrng gajelas Shopee pengiriman nya lambat trus suka ditunda mulu 😤😤😤,Negatif,skrng gajelas shopee kirim nya lambat trus suka tunda mulu
"mantap, sangat berguna",Positif,mantap sangat guna
sangat dipercaya,Positif,sangat percaya
aplikasi sangat keren...pokoknya wajib kiranya di download sobat,Positif,aplikasi sangat kerenpokoknya wajib kira download sobat
bagus,Positif,bagus
👍👍,Positif,
"Mudah, sangat membantu",Positif,mudah sangat bantu
Sangat bagus,Positif,sangat bagus
"Promo gratis ongkir ga ada auto uninstall ga guna ,boros kuota banget, parah flash sale mobil cuma hoax OMON omon nipu",Negatif,promo gratis ongkir ga auto uninstall ga boros kuota banget parah flash sale mobil cuma hoax omon omon nipu
shope mantap,Positif,shope mantap
baguss,Positif,baguss
mantap,Positif,mantap
good,Positif,good
puas dengan segala belanjaan semuanya saya suka saya sangat puas barang terjamin bermutu,Positif,puas segala belanja semua suka sangat puas barang jamin mutu
"sangat membantu saya untuk mencari apa yang mau saya beli, terima kasih shopee",Positif,sangat bantu cari apa mau beli terima kasih shopee
belanja diecast semoga makin banyak diskon diecast nya AMIN 🙏,Positif,belanja diecast moga makin banyak diskon diecast nya amin
"Setidaknya, saya dapat rezeki dari sini",Positif,rezeki sini
terima kasih shope seslalu .menjadi andalan sya dan pengiriman cepat 👍👍👍,Positif,terima kasih shope seslalu jadi andal sya kirim cepat
shopee👍🏻👍🏻,Positif,shopee
untuk saat ini pokonya yg paling the best smoga kedepanya banyak diskon menarik,Positif,poko yg paling the best smoga depa banyak diskon tarik
mantappp,Positif,mantappp
Pokoknya Shoope The Best dalam memenuhi kebutuhan kami. Bisa kredit dgn mudah tanpa ribet 🫰,Positif,pokok shoope the best penuh butuh kredit dgn mudah ribet
mantap,Positif,mantap
"mantap barang nya ,sesuai sama harga nya ,",Positif,mantap barang nya sesuai sama harga nya
manntap,Positif,manntap
mantab,Positif,mantab
bagus barang sesuai ekspektasi tapi sayang yang sampai tujuan lama,Positif,bagus barang sesuai ekspektasi sayang tuju lama
makasih selama ini telah menemani,Positif,makasih lama tani
"Bagus pelayanan sellernya, gercep. Harga murah, ada gratis ongkir. Terimakasih ada layanan COD juga.",Positif,bagus layan sellernya gercep harga murah gratis ongkir terimakasih layan cod
shopee sangat bagus untuk berbelanja dan juga mendapat kan vocer biar dapat potongan harga!!,Positif,shopee sangat bagus belanja dapat kan vocer biar potong harga
Alhamdulillah hirobil alam min saya bisa belanja online ada ya,Positif,alhamdulillah hirobil alam min belanja online
bagus,Positif,bagus
oke banget,Positif,oke banget
gjls sistem shope pay ny,Negatif,gjls sistem shope pay ny
i like,Positif,i like
AKUN TIBA TIBA KELAUR DI MASUKIN SANDI SALAH TERUS PADAHAL SANDINYA BENER SAMPE UJUNG UJUNGNYA AKUN DI BLOKIRRRR ADA SALDO 200K ILANG DI KORUPSI SHOPEE !!!!!,Negatif,akun tiba tiba laur masukin sandi salah terus padahal sandi bener sampe ujung ujung akun blokirrrr saldo k ilang korupsi shopee
sangat baik sekali belanja online tidak ribet,Positif,sangat baik sekali belanja online ribet
"ku uninstall soalnya iklan dimana-mana pas nonton film iklan selalu masuk ke toko yang ada di Shopee tolong perbaiki lagi regulasi nya 🙏, sangat menggangu",Negatif,ku uninstall soal iklan dimanamana pas nonton film iklan selalu masuk toko shopee baik regulasi nya sangat menggangu
sangat membantu dalam order,Positif,sangat bantu order
Alhamdulillah semenjak ada shopee belanja online lebih mudah dan muraah banyak promonya banyak coin foucer gratiisnya. thanks shopee semoga sukses terus yaa,Positif,alhamdulillah semenjak shopee belanja online lebih mudah muraah banyak promonya banyak coin foucer gratiisnya thanks shopee moga sukses terus yaa
memuaskan belanja jadi mudah,Positif,muas belanja jadi mudah
bagus keren apk ny,Positif,bagus keren apk ny
belanja online praktis,Positif,belanja online praktis
SIIIP,Positif,siiip
cukup baik,Positif,cukup baik
very god,Positif,very god
"Shopee sangat memuaskan konsumen, selalu langganan kesini kalau beli produk online 😍",Positif,shopee sangat muas konsumen selalu langgan kesini kalau beli produk online
sangat bagus,Positif,sangat bagus
pake shopee pembayaran mudah aman & amanah terimakasih,Positif,pake shopee bayar mudah aman amanah terimakasih
bagus 🤩👍,Positif,bagus
"pesanannya cepat,harganya hemat, kurirnya mantap,tapi ada satu yg kurang,diskonnya kurang gede xixixi canda om shopee pokonya the best dehh..... mantap 👍👍👍",Positif,pesan cepatharganya hemat kurir mantaptapi satu yg kurangdiskonnya kurang gede xixixi canda om shopee poko the best dehh mantap
pelayanan oke 👍👍👍,Positif,layan oke
penjualan sangat membantu usaha dagang pemula,Positif,jual sangat bantu usaha dagang mula
ok,Positif,
saya sangat puas belanja dishopee,Positif,sangat puas belanja dishopee
"sejak shopee pake expedisi sendiri ya Allah lambatttttttt betul bisa 10 hari pdhl deket tpi 10 hari bener² sekarang turun bgt performa kalian, makin lama tuh harusnya makin bagus bukan makin ancur mana semua di naikin biaya²nya tpi pengiriman lama bgt tolong lah kyk gt bagus skrang knp makin ancur ga costumer ga pejual jdi males tiap pengiriman selalu lama",Negatif,sejak shopee pake expedisi sendiri allah lambatttttttt betul hari pdhl deket tpi hari bener sekarang turun bgt performa kalian makin lama tuh harus makin bagus bukan makin ancur mana semua naikin biaya tpi kirim lama bgt lah kyk gt bagus skrang knp makin ancur ga costumer ga jual jdi males tiap kirim selalu lama
"Sudah banyak peningkatan pelayanan dishopee skrg, mdh2n kedepannya lebih baik lagi dan makin mengedepankan kepuasan konsumen.",Positif,banyak tingkat layan dishopee skrg mdhn depan lebih baik makin depan puas konsumen
80% puas,Positif,puas
baik cara cod lagi gimana iya fitur cod saya ngak bisa,Positif,baik cara cod gimana iya fitur cod ngak
ok mantap,Positif,mantap
Tolong di atur Cod nya bayar di tempat dong,Positif,atur cod nya bayar tempat dong
sangat penting,Positif,sangat penting
jujur sangat menyukai shopee.mudah amanah,Positif,jujur sangat suka shopeemudah amanah
top,Positif,top
sangat memuaskn,Positif,sangat memuaskn
mantap,Positif,mantap
pkoneee mntapp poolll,Positif,pkoneee mntapp poolll
barang nya bagus dan aplikasi nay ramah,Positif,barang nya bagus aplikasi nay ramah
bagus,Positif,bagus
Belanja di shopee memang ok,Positif,belanja shopee memang
"shopee ini sangat2 membantu aq bgt , di saat aq lg punya baby jd gak harus keluar rumah malah sdh smpe didepan rumah yg di beli , makasih shopee lancar trss",Positif,shopee sangat bantu aq bgt aq lg punya baby jd gak keluar rumah malah sdh smpe depan rumah yg beli makasih shopee lancar trss
prodak nya bagus dan harga bisa bersaing dengan toko offline,Positif,prodak nya bagus harga saing toko offline
bagus,Positif,bagus
cari driver shopefood susah amat dah weh,Negatif,cari driver shopefood susah dah weh
sangat membantu bagi saya maju terus,Positif,sangat bantu maju terus
sangat puas,Positif,sangat puas
👍,Positif,
the best,Positif,the best
ok,Positif,
"lebih mudah mendapat barang yg kita cari, tanpa harus susah payah ke toko toko utk menyakan stok",Positif,lebih mudah dapat barang yg cari susah payah toko toko utk nyak stok
membantu memenuhi kebutuhan rumah tangga tanpa repot keluar,Positif,bantu penuh butuh rumah tangga repot keluar
ok,Positif,
bagus aplikasinya,Positif,bagus aplikasi
Ok,Positif,
kenapa jnt di hapus,Negatif,jnt hapus
okeee,Positif,okeee
dengan apk ini sangat bermanfaat sekali....,Positif,apk sangat manfaat sekali
katanya sesuai estimasi di iklan nya lah di dunia nyata enggak,Negatif,kata sesuai estimasi iklan nya lah dunia nyata enggak
"sekarang udh mulai susah dpt voucher diskon, meskipun udh join shopee VIP ujung""nya juga tetep susah dpt",Negatif,sekarang udh mulai susah dpt voucher diskon meski udh join shopee vip ujung tetep susah dpt
"tolong dilihat sejarah akun saya, gara-gara spx gagal antar kenapa akun saya yang disalahkan. kalau spx timika yg gagal antar mungkin salah saya, tapi ini spx jakarta yg tidak mampu menerbangkan paket saya!!! tolong lihat sejarah akun saya dan aktifkan kembali COD saya.",Negatif,lihat sejarah akun garagara spx gagal antar akun salah kalau spx timika yg gagal antar mungkin salah spx jakarta yg mampu terbang paket lihat sejarah akun aktif cod
Pelayanan bagus,Positif,layan bagus
semoga sukses,Positif,moga sukses
