ulasan,kategori,clean
Bahaya banyak banget pedagang penipu yang tidak jujur yah,Negatif,bahaya banyak banget dagang tipu jujur yah
"Jasa pengiriman nya sangat parah, tulis diaplikasi barang sudah diterima sama yang bersangkutan, padahal tidak, sudah lama suka bohong pula, saya pakai spx express tetap aja tiba dalam 14hari 👎",Negatif,jasa kirim nya sangat parah tulis aplikasi barang terima sama sangkut padahal lama suka bohong pakai spx express tetap aja tiba hari
awal pke app shopee suka krng ongkirnya murah 1-2 THN males pke shopee ongkrnya jadi mahal..tahun ini suka pke LG karna ongkirnya kmbali murahhh 🥰🥰.. perthnkn ongkir murahnya grts ongkirnya dan banyakin bonusnyaaaaa,Positif,awal pke app shopee suka krng ongkirnya murah thn males pke shopee ongkrnya jadi mahaltahun suka pke lg karna ongkirnya kmbali murahhh perthnkn ongkir murah grts ongkirnya banyakin bonusnyaaaaa
the best 👍,Positif,the best
ini kapan komisi affiliasi saya dibayarkan? masa udah 10 hari ga masuk2,Negatif,kapan komisi affiliasi bayar masa udah hari ga masuk
mantappp cepat,Positif,mantappp cepat
bgus,Positif,bgus
saya di desa dengan shoope dimudahkan belanja semua kebutuhan.,Positif,desa shoope mudah belanja semua butuh
"suka sama Shopee banyak voucher nyaa, dan barang hampir ada di Shopee semuaa plisss sukaaa ❤❤",Positif,suka sama shopee banyak voucher nyaa barang hampir shopee semuaa plisss sukaaa
Aplikasi ini memudahkan keperluan pribadi,Positif,aplikasi mudah perlu pribadi
belanja mudah cepat dan aman,Positif,belanja mudah cepat aman
shopee cepat dan pelayanannya oke dan ramah,Positif,shopee cepat layan oke ramah
nice dude,Positif,nice dude
lebih murah dan mantap,Positif,lebih murah mantap
pelayanannya cepat dan ramah,Positif,layan cepat ramah
shopping ini eror bos pas saya beli barang ko shopping saya gini lah itu eror,Negatif,shopping eror bos pas beli barang ko shopping gin lah eror
pelayanan terbaik,Positif,layan baik
"Dterima baik, Trims 👍👍👍",Positif,dterima baik trims
good,Positif,good
baguss,Positif,baguss
suka,Positif,suka
"shoopee,,,, mantep tenan,,,rekk terimakasih shopee,,,",Positif,shoopee mantep tenanrekk terimakasih shopee
ok mantap,Positif,mantap
good,Positif,good
siip,Positif,siip
"sejauh ini saya membeli produk selalu pas dan kurirnya juga ramah, dan baik.",Positif,jauh beli produk selalu pas kurir ramah baik
sangat puas,Positif,sangat puas
sangat baik,Positif,sangat baik
sistem shope ribet ktp yang sudah terdaftar lain mau ganti ke nomer baru malah jadi di nonaktifkan dan sekarang gabisa beli food/barang,Negatif,sistem shope ribet ktp daftar mau ganti nomer baru malah jadi nonaktif sekarang gabisa beli foodbarang
sangat membantu,Positif,sangat bantu
aku suka shopee krn pengiriman barang dan kurir tepat sekali,Positif,aku suka shopee krn kirim barang kurir tepat sekali
tidak mengerti,Negatif,erti
masak baru buka apk sudah di default mutar vidio short. tolong dong di perbaiki. g suma org buka apk lansung di puterin shodt video,Negatif,masak baru buka apk default mutar vidio short dong baik g suma org buka apk lansung puterin shodt video
shopee mantap,Positif,shopee mantap
sangat puas belanja dishopee barangnya berkualitas dan harga terjangkau banget deh,Positif,sangat puas belanja dishopee barang kualitas harga jangkau banget deh
sangat membantu untuk usaha,Positif,sangat bantu usaha
mantap,Positif,mantap
seru belanja di shopee,Positif,seru belanja shopee
"Kurirnya cod nya banyak yang nggak becus, sering terlambat",Negatif,kurir cod nya banyak becus sering lambat
"Awalnya suka sama shopee, tapi akhir-akhir ini kecewa karena sangat lemot .",Positif,awal suka sama shopee akhirakhir kecewa sangat lot
oke baik baik saja,Positif,oke baik baik
suka aja,Positif,suka aja
ok,Positif,
Terimakasih shopee semoga tetap amanah konsisten dalam pelayanan,Positif,terimakasih shopee moga tetap amanah konsisten layan
selalu dengan shpy🙏🙏,Positif,selalu shpy
bgus,Positif,bgus
oke,Positif,oke
Baik Luar Biasa,Positif,baik luar biasa
mudah untuk mencari barang yg di butuhkan,Positif,mudah cari barang yg butuh
mantap,Positif,mantap
mudah dan cepat,Positif,mudah cepat
"pelayanan cepat, brgnya ok",Positif,layan cepat brgnya
nice,Positif,nice
pesan di shopi barang nya slalu bagus tidak mengecewakan,Positif,pesan shopi barang nya slalu bagus kecewa
"ini kenapa gak bisa daftar pake akun Facebook/google, Jing?",Negatif,gak daftar pake akun facebookgoogle jing
Ok....ok,Positif,okok
anjay ga pernah dapet free ongkir mana nyampenya lama lagi🗿,Positif,anjay ga pernah dapet free ongkir mana nyampenya lama
"saran, jika ada toko yg menjual produk yang tidak sesuai segera di blokir atau ditutup saja",Positif,saran toko yg jual produk sesuai segera blokir tutup
"dasar pengembang bebal, sudah banyak yang komplain begitu masuk langsung ke video, eh di-update masih aja kayak gitu !.",Negatif,dasar kembang bebal banyak komplain masuk langsung video eh diupdate aja kayak gitu
"udah jelek semenjak kurir nya lebih fokus kan ke shopee express lama amat, dari dulu make shope selalu ada pilihan kurir nya milih jnt sama id express selalu bagus ini jelk amat, tau gini pesan di tt shop",Negatif,udah jelek semenjak kurir nya lebih fokus kan shopee express lama dulu make shope selalu pilih kurir nya milih jnt sama id express selalu bagus jelk tau gin pesan tt shop
baik bagus,Positif,baik bagus
barang - barang belanja lengkap,Positif,barang barang belanja lengkap
barang terlengkap,Positif,barang lengkap
bagus bangett bagi yg mager keluar buat belanja,Positif,bagus bangett yg mager keluar buat belanja
sipp buat belanja,Positif,sipp buat belanja
"No recommended. aplikasi banyak bug, yang bikin jengkel kalo ada notifikasi selalu masuk ke aplikasi shopee dan itu setiap jam!!",Negatif,no recommended aplikasi banyak bug bikin jengkel kalo notifikasi selalu masuk aplikasi shopee jam
rumayan membantu,Positif,rumayan bantu
sangat membantu,Positif,sangat bantu
selama sy order via shopee blm pernah bermasalah,Positif,lama sy order via shopee blm pernah masalah
ok,Positif,
apk ini memang mantap👍👍👍👍👍 kembangkan terus,Positif,apk memang mantap kembang terus
baik hati,Positif,baik hati
"Shopee tempat belanja online yang lengkap, murah dan banyak voucher nya",Positif,shopee tempat belanja online lengkap murah banyak voucher nya
Awesoms,Positif,awesoms
pay letter saya di bekukan padahal sering belanja dan tdk ada tagihan,Negatif,pay letter beku padahal sering belanja tdk tagih
"saya sngat senng belanja di shoppy,,, karna shopee adalah aplikasi yg terpecaya pelayanan call center nya ramah,baik², merespon dgn segera, menangani setiap masalh dgn cept...dan sangat aktif.pkoknya the best!! shoppe sellu ada dihati!!",Positif,sngat senng belanja shoppy karna shopee aplikasi yg terpecaya layan call center nya ramahbaik merespon dgn segera tangan masalh dgn ceptdan sangat aktifpkoknya the best shoppe sellu hati
"“Shopee adalah solusi belanja online paling terpercaya dan mudah digunakan. Sebagai pengguna, saya merasa sangat terbantu dengan berbagai fitur yang ditawarkan.” > “Dengan adanya Shopee, saya bisa belanja kebutuhan harian, perlengkapan kerja, dan hobi saya hanya lewat ponsel. Hemat waktu, hemat tenaga.” > “Shopee bukan sekadar aplikasi, tapi platform yang telah memudahkan hidup saya dalam hal berbelanja aman, cepat, dan hemat.”",Positif,shopee solusi belanja online paling percaya mudah guna guna rasa sangat bantu bagai fitur tawar ada shopee belanja butuh hari lengkap kerja hobi lewat ponsel hemat waktu hemat tenaga shopee bukan sekadar aplikasi platform mudah hidup belanja aman cepat hemat
aplikasih nya saya berguna/cuman sayang blm di kasih limit paylater...cuma di kasih limit pinjaman doang kapan yah di kasih limit paylater sama pinjaman,Positif,aplikasih nya bergunacuman sayang blm kasih limit paylatercuma kasih limit pinjam doang kapan yah kasih limit paylater sama pinjam
ok,Positif,
sesuai,Positif,sesuai
bagus,Positif,bagus
mantapp selalu sesuai setiap saya pesan,Positif,mantapp selalu sesuai pesan
baik,Positif,baik
subanallah,Positif,subanallah
mudah dan terpercaya,Positif,mudah percaya
"berbelanja di shopee sllu berasa berbangga diri,sukses sllu shopee❤️",Positif,belanja shopee sllu asa bangga dirisukses sllu shopee
👍🏻🫰🏻,Positif,
lebih murah,Positif,lebih murah
🥰,Positif,
belanja lebih mudah pakai shopee,Positif,belanja lebih mudah pakai shopee
shoppe emang bagus banget buat belanja online terus cepat dikirimnya pokoknya bagus deh👍🏻👍🏻,Positif,shoppe emang bagus banget buat belanja online terus cepat kirim pokok bagus deh
baik,Positif,baik
"recomendet buat yg beli dari luar pulau jawa, walau harga agak naik dari si ijo, tapi diskonnya bejibun 😍",Positif,recomendet buat yg beli luar pulau jawa harga naik si ijo diskon bejibun
serba ngelag bukannya tambah bagus malah makin berat,Negatif,serba ngelag bukan tambah bagus malah makin berat
sangat membantu dalam aktivitas belanja online,Positif,sangat bantu aktivitas belanja online
saya suka belanja online di Shopee.. karna harga barang nya murah2.. yg bikin suka nya lagi karna ada video live setiap toko memberi penjelasan kualitas produk dan harga nya?,Positif,suka belanja online shopee karna harga barang nya murah yg bikin suka nya karna video live toko beri jelas kualitas produk harga nya
aplikasi yg sangat bermaanfaat sekali belanja online jadi lebih mudah 🤗🤗👍👍,Positif,aplikasi yg sangat bermaanfaat sekali belanja online jadi lebih mudah
pengiriman cepat,Positif,kirim cepat
"aku lebih suka pesen barang online di apk ini, di yang lain ongkirnya lumayan mahal, disini banyak diskon nya juga. dan untuk pembayarannya bisa ditambahkan dana tidak? pelanggan ku kebanyakan bayarnya pake dana dan kalau ada yang ngirim uang ke dana bukan ke atm, ngambil uangnya jauh😓",Positif,aku lebih suka sen barang online apk ongkirnya lumayan mahal sini banyak diskon nya bayar tambah dana langgan ku banyak bayar pake dana kalau ngirim uang dana bukan atm ngambil uang jauh
"shoope recommended banget aku suka banget produk nya juga bagus""😭💗ongkir nya juga lumayan😂",Positif,shoope recommended banget aku suka banget produk nya bagusongkir nya lumayan
mantap bnget shopee,Positif,mantap bnget shopee
mantab Shopee Terimakasih atas kehadiranya Dan tingkatkan terus,Positif,mantab shopee terimakasih atas kehadiranya tingkat terus
mantap,Positif,mantap
mantap,Positif,mantap
bagus ini shopee bisa dapat pake tah semua,Positif,bagus shopee pake tah semua
sangat baik,Positif,sangat baik
sangat bagus sekali,Positif,sangat bagus sekali
mantap,Positif,mantap
sangt membantu dalam jual beli,Positif,sangt bantu jual beli
bagus,Positif,bagus
aplikasi bagus,Positif,aplikasi bagus
